"Gene" "gene_type" 
"Rv0908" FALSE
"Rv0909" FALSE
"Rv0910" FALSE
"Rv0911" FALSE
"Rv0912" FALSE
"Rv0913c" FALSE
"Rv0914c" FALSE
"Rv0915c" FALSE
"Rv0916c" FALSE
"Rv0917" FALSE
"Rv0918" FALSE
"Rv0919" FALSE
"Rv0920c" FALSE
"Rv0921" FALSE
"Rv0922" FALSE
"Rv0923c" FALSE
"Rv0924c" FALSE
"Rv0925c" FALSE
"Rv0926c" FALSE
"Rv0927c" FALSE
"Rv0928" FALSE
"Rv0929" FALSE
"Rv0930" FALSE
"Rv0931c" FALSE
"Rv0932c" FALSE
"Rv0933" FALSE
"Rv0934" FALSE
"Rv0935" FALSE
"Rv0936" FALSE
"Rv0937c" FALSE
"Rv0938" FALSE
"Rv0939" FALSE
"Rv0940c" FALSE
"Rv0941c" FALSE
"Rv0942" FALSE
"Rv0943c" FALSE
"Rv0944" FALSE
"Rv0945" FALSE
"Rv0946c" FALSE
"Rv0949" FALSE
"Rv0950c" FALSE
"Rv0952" FALSE
"Rv0953c" FALSE
"Rv0954" FALSE
"Rv0955" FALSE
"Rv0956" FALSE
"Rv0958" FALSE
"Rv0959" FALSE
"Rv0960" FALSE
"Rv0961" FALSE
"Rv0962c" FALSE
"Rv0963c" FALSE
"Rv0964c" FALSE
"Rv0965c" FALSE
"Rv0966c" FALSE
"Rv0967" FALSE
"Rv0968" FALSE
"Rv0969" FALSE
"Rv0970" FALSE
"Rv0971c" FALSE
"Rv0972c" FALSE
"Rv0973c" FALSE
"Rv0974c" FALSE
"Rv0975c" FALSE
"Rv0976c" FALSE
"Rv0977" FALSE
"Rv0978c" FALSE
"Rv0979A" FALSE
"Rv0980c" FALSE
"Rv0981" FALSE
"Rv0982" FALSE
"Rv0983" FALSE
"Rv0984" FALSE
"Rv0985c" FALSE
"Rv0986" FALSE
"Rv0987" FALSE
"Rv0988" FALSE
"Rv0989c" FALSE
"Rv0990c" FALSE
